drug_id,enzyme,role,strength
ranolazine,CYP3A,inhibitor,weak
repaglinide,CYP2C8,substrate,sensitive
repotrectinib,CYP3A,inducer,moderate
repotrectinib,CYP3A,substrate,sensitive
resmetirom,CYP2C8,inhibitor,weak
resmetirom,CYP2C8,substrate,moderately_sensitive
rifampicin,CYP1A2,inducer,moderate
rifampicin,CYP2B6,inducer,moderate
rifampicin,CYP2C19,inducer,strong
rifampicin,CYP2C8,inducer,moderate
rifampicin,CYP2C9,inducer,moderate
rifampicin,CYP3A,inducer,strong
rilpivirine,CYP3A,substrate,moderately_sensitive
ritonavir,CYP2B6,inducer,weak
ritonavir,CYP2C19,inducer,weak
ritonavir,CYP2C9,inducer,weak
ritonavir,CYP3A,inhibitor,strong
rivaroxaban,CYP3A,substrate,moderately_sensitive
rolapitant,CYP2D6,inhibitor,moderate
rosiglitazone,CYP2C8,substrate,moderately_sensitive
rufinamide,CYP3A,inducer,weak
s_mephenytoin,CYP2C19,substrate,sensitive
s_venlafaxine,CYP2D6,substrate,moderately_sensitive
saquinavir,CYP3A,substrate,sensitive
saquinavir_and_ritonavir,CYP3A,inhibitor,strong
selexipag,CYP2C8,substrate,sensitive
selpercatinib,CYP2C8,inhibitor,moderate
selpercatinib,CYP3A,inhibitor,weak
selpercatinib,CYP3A,substrate,moderately_sensitive
sertraline,CYP2D6,inhibitor,weak
sevabertinib,CYP3A,inhibitor,weak
sevabertinib,CYP3A,substrate,moderately_sensitive
sildenafil,CYP3A,substrate,sensitive
simvastatin,CYP3A,substrate,sensitive
sirolimus,CYP3A,substrate,sensitive
sotorasib,CYP3A,inducer,moderate
st_john_s_wort,CYP3A,inducer,strong
tacrolimus,CYP3A,substrate,sensitive
tadalafil,CYP3A,substrate,moderately_sensitive
taletrectinib,CYP3A,substrate,moderately_sensitive
tasimelteon,CYP1A2,substrate,sensitive
tazemetostat,CYP2C8,inhibitor,weak
tazemetostat,CYP3A,inducer,weak
tazemetostat,CYP3A,substrate,moderately_sensitive
telithromycin,CYP3A,inhibitor,strong
tenofovir,CYP2B6,inhibitor,weak
terbinafine,CYP2D6,inhibitor,strong
teriflunomide,CYP1A2,inducer,moderate
teriflunomide,CYP2C8,inhibitor,moderate
theophylline,CYP1A2,substrate,moderately_sensitive
ticagrelor,CYP3A,inhibitor,weak
ticagrelor,CYP3A,substrate,sensitive
ticlopidine,CYP2B6,inhibitor,weak
ticlopidine,CYP2C19,inhibitor,strong
tipranavir,CYP3A,substrate,sensitive
tipranavir_and_ritonavir,CYP3A,inhibitor,strong
tizanidine,CYP1A2,substrate,sensitive
tobacco_smoking,CYP1A2,inducer,moderate
tolbutamide,CYP2C9,substrate,moderately_sensitive
tolterodine,CYP2D6,substrate,sensitive
tolvaptan,CYP3A,substrate,sensitive
tramadol,CYP2D6,substrate,moderately_sensitive
triazolam,CYP3A,substrate,sensitive
trimethoprim,CYP2C8,inhibitor,weak
trimipramine,CYP2D6,substrate,moderately_sensitive
tucatinib,CYP2C8,inhibitor,weak
tucatinib,CYP2C8,substrate,moderately_sensitive
tucatinib,CYP3A,inhibitor,strong
vardenafil,CYP3A,substrate,sensitive
vemurafenib,CYP1A2,inhibitor,moderate
vemurafenib,CYP2D6,inhibitor,weak
vemurafenib,CYP3A,inducer,weak
venetoclax,CYP3A,substrate,sensitive
verapamil,CYP3A,inhibitor,moderate
voriconazole,CYP2B6,inhibitor,weak
voriconazole,CYP2C19,inhibitor,moderate
voriconazole,CYP2C19,substrate,moderately_sensitive
voriconazole,CYP2C9,inhibitor,weak
voriconazole,CYP3A,inhibitor,strong
warfarin,CYP2C9,substrate,moderately_sensitive
zanubrutinib,CYP2C19,inducer,weak
zanubrutinib,CYP3A,inducer,weak
zanubrutinib,CYP3A,substrate,moderately_sensitive
zileuton,CYP1A2,inhibitor,weak
